,термин,частота (ipm),1960-е,1970-е,1980-е,1990-е,2000-е,2010-е,2020-е,DP,D,R
431,иероглиф,11.62,7.2,5.7,1.5,8.9,10.7,9.3,17.4,0.48,82.09,113.0
432,иероглифический,2.71,1.2,1.8,0.3,2.1,2.3,2.5,1.9,0.5517,84.28,77.0
433,избыточность,24.21,13.2,6.0,19.8,13.6,14.2,29.0,9.4,0.3525,78.43,123.0
434,избыточный,15.6,25.1,7.4,10.3,12.0,12.3,13.5,15.0,0.2599,88.92,123.0
435,изоглосса,15.2,16.8,32.2,24.4,13.5,10.0,9.6,6.6,0.4216,89.42,114.0
436,изолированный,17.63,9.6,16.3,21.0,22.0,12.6,12.3,13.6,0.1886,95.4,123.0
437,изолирующий,0.26,0.0,0.0,0.1,1.0,0.2,0.1,0.0,0.8855,58.88,13.0
438,изоморфизм,14.74,0.0,2.0,12.3,18.9,13.3,9.8,3.3,0.3133,91.22,122.0
439,изоморфность,0.65,0.0,0.0,0.3,0.9,0.7,0.3,0.0,0.5975,86.08,49.0
440,израильский,2.53,1.2,1.0,0.7,1.9,2.7,1.7,1.4,0.6658,61.81,62.0
441,изречение,17.54,29.9,19.6,10.1,18.5,12.7,14.1,20.7,0.2834,92.82,123.0
442,икание,2.77,4.8,3.6,4.7,1.7,2.0,1.7,5.6,0.5521,84.63,75.0
443,иконический,16.03,0.0,0.0,0.7,13.8,13.2,16.4,9.9,0.4563,86.35,108.0
444,иллатив,3.44,0.0,0.2,1.6,3.6,1.0,5.1,11.3,0.688,80.79,48.0
445,именной,280.1,85.0,192.3,304.2,271.5,207.4,220.7,221.5,0.1993,95.4,123.0
446,императив,108.08,4.8,37.3,19.6,68.0,82.9,115.9,83.7,0.3512,90.37,123.0
447,императивность,4.63,2.4,0.2,1.3,2.2,3.4,5.5,0.9,0.4909,77.66,95.0
448,императивный,35.27,0.0,18.3,5.1,24.3,30.1,33.9,8.5,0.3644,90.1,123.0
449,имперсонал,4.2,0.0,0.3,1.3,2.5,0.9,6.1,36.7,0.6983,75.26,61.0
450,имперсональный,1.79,0.0,0.2,0.3,0.5,0.2,3.3,7.5,0.7637,69.33,32.0
451,имперфект,74.03,6.0,10.0,13.8,28.2,26.1,120.9,139.6,0.5847,82.8,119.0
452,имперфектив,47.79,1.2,2.0,2.3,9.2,12.0,88.2,91.7,0.6738,77.81,110.0
453,имперфективация,1.04,0.0,0.0,0.1,0.3,0.3,1.8,3.3,0.7735,65.92,27.0
454,имперфективный,17.15,0.0,1.0,0.9,2.5,4.5,32.2,16.9,0.6666,72.03,87.0
455,импликатура,2.19,0.0,0.0,0.0,1.3,1.5,2.7,1.9,0.4963,83.08,75.0
456,импликация,24.93,1.2,0.2,14.0,25.9,23.9,17.7,8.9,0.3039,92.15,119.0
457,имплицитный,111.89,0.0,5.4,57.1,99.8,109.2,80.9,60.2,0.2388,94.37,123.0
458,имплозивный,0.87,0.0,4.7,0.7,0.3,0.7,0.4,0.0,0.7495,73.49,30.0
459,инвариант,100.92,0.0,10.9,68.1,125.1,97.6,62.4,39.0,0.2329,94.76,123.0
460,инвариантность,7.06,0.0,0.7,2.7,10.9,6.7,4.5,1.4,0.2938,91.8,115.0
461,инвариантный,44.38,0.0,4.4,44.7,48.1,43.6,25.3,9.9,0.242,94.31,123.0
462,инвариативность,0.05,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.9415,60.02,6.0
463,инверсированный,0.78,20.3,1.1,0.6,0.6,0.7,0.2,0.5,0.6695,75.19,40.0
464,инверсия,23.4,28.7,19.1,31.6,13.5,17.1,19.1,9.9,0.3486,87.04,123.0
465,ингушский,28.06,2.4,3.8,20.1,8.5,25.6,25.4,1.9,0.6576,78.17,107.0
466,индейский,4.12,10.8,2.0,2.1,2.3,2.6,4.5,9.4,0.5337,84.36,89.0
467,индийский,17.3,26.3,19.3,18.2,18.4,12.1,12.7,20.2,0.3786,91.63,122.0
468,индикатив,24.19,0.0,28.8,20.9,22.3,12.4,24.7,53.6,0.4064,89.43,120.0
469,индикативный,4.03,0.0,8.2,3.6,2.9,2.2,3.9,2.4,0.4885,84.61,84.0
470,индоарийский,2.78,0.0,0.2,0.8,3.4,2.4,2.3,3.3,0.6295,76.85,61.0
471,индоевропеистика,4.15,1.2,2.3,1.6,4.9,3.6,3.1,2.8,0.3122,92.66,111.0
472,индоиранский,3.7,1.2,1.0,2.5,1.9,2.7,3.9,2.4,0.5209,82.38,81.0
473,инкорпорация,6.82,0.0,0.2,2.2,3.7,3.9,8.7,16.0,0.6492,72.61,78.0
474,инкультурация,0.08,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.9335,57.75,7.0
475,иносказательный,4.91,13.2,9.3,4.9,4.5,3.9,2.8,5.6,0.3938,86.96,105.0
476,инструменталис,4.85,0.0,0.8,1.0,0.9,2.7,6.7,12.2,0.61,81.53,71.0
477,инструментальный,22.91,3.6,11.4,17.8,13.3,17.8,20.9,22.6,0.3218,90.91,123.0
478,интенсификация,15.61,0.0,3.1,11.3,14.4,15.6,9.5,14.6,0.3095,91.58,122.0
479,интенция,77.39,0.0,0.2,19.8,55.4,78.1,60.6,39.0,0.2958,93.43,121.0
480,интервокальный,9.23,0.0,30.6,12.4,4.7,3.5,8.4,22.1,0.5112,86.17,93.0
481,интертекстуальный,2.74,0.0,0.0,0.1,1.2,2.1,3.3,0.5,0.4639,88.75,83.0
482,интерферентный,0.05,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.9655,29.58,3.0
483,интерференционный,2.05,0.0,0.0,0.4,0.4,2.0,2.0,0.0,0.6331,80.13,55.0
484,интерференция,69.55,0.0,8.3,39.1,53.0,69.5,50.0,10.8,0.36200000000000004,90.88,123.0
485,интерфикс,7.02,22.7,19.4,6.2,4.4,3.7,6.4,0.9,0.5789,77.45,89.0
486,интонационный,88.54,81.4,52.1,115.5,122.2,78.1,43.1,32.0,0.2781,92.65,123.0
487,интонация,133.29,165.2,120.7,172.1,164.5,119.8,61.7,32.9,0.2459,93.97,123.0
488,интонирование,1.79,1.2,0.3,1.7,0.9,1.7,1.3,0.9,0.4378,85.39,89.0
489,интродукция,1.78,0.0,0.0,2.3,1.7,1.0,1.9,1.9,0.5851,84.66,61.0
490,интуитивность,0.34,0.0,0.0,0.2,0.3,0.4,0.2,0.5,0.7415,82.43,31.0
491,интуитивный,8.46,1.2,2.6,4.7,9.5,7.6,6.0,7.1,0.2327,94.28,121.0
492,интуиция,15.85,8.4,4.9,7.1,15.9,14.3,11.6,20.7,0.2516,92.77,123.0
493,инфикс,2.95,0.0,3.8,1.2,2.7,2.1,2.6,4.7,0.5246,84.33,73.0
494,инфинитив,160.35,91.0,51.0,149.5,149.1,110.0,141.3,348.9,0.2782,93.12,123.0
495,инфинитивный,45.16,57.4,8.8,37.6,37.3,34.5,37.0,110.0,0.3295,92.04,123.0
496,информант,81.26,1.2,8.3,30.9,43.3,55.0,93.5,150.0,0.2673,91.91,123.0
497,инхоатив,7.08,0.0,0.7,1.9,2.3,3.5,10.3,12.7,0.5701,82.79,95.0
498,иранистика,1.66,0.0,4.1,0.9,0.5,1.1,1.6,0.5,0.5818,84.47,58.0
499,иранский,50.33,21.5,68.0,57.7,37.4,28.7,47.0,71.9,0.4167,90.3,120.0
500,ирландский,12.37,2.4,1.8,1.3,13.2,10.4,11.6,5.6,0.5713,81.38,111.0
501,иронический,31.56,63.4,33.2,29.3,20.5,27.3,21.5,10.8,0.289,92.78,122.0
502,ироничный,4.8,1.2,2.3,1.5,3.6,3.9,4.5,4.7,0.2895,92.91,109.0
503,ирония,68.0,56.2,29.2,49.9,27.3,57.7,60.9,25.4,0.3644,90.1,123.0
504,исландский,9.78,0.0,6.7,6.9,14.7,6.4,8.6,4.7,0.4838,86.44,111.0
505,испанистика,1.57,0.0,0.0,2.1,0.4,0.9,1.9,0.0,0.6907,81.01,44.0
506,испанский,145.9,37.1,12.7,126.0,74.3,98.5,159.1,139.6,0.4244,89.38,123.0
507,истолкование,19.76,29.9,26.1,21.9,20.4,14.7,13.5,7.1,0.1851,95.65,123.0
508,историзм,20.03,20.3,27.9,23.5,16.9,17.6,10.9,5.2,0.3081,91.57,123.0
509,италийский,3.22,0.0,0.7,1.5,1.8,2.2,3.8,0.5,0.6623,62.82,62.0
510,итальянский,68.1,77.8,33.5,46.3,51.1,43.6,63.5,266.1,0.3269,91.01,123.0
511,ительменский,3.32,2.4,3.9,1.0,0.4,2.1,4.1,0.5,0.6424,74.9,60.0
512,итератив,22.42,0.0,1.0,19.6,13.7,9.6,29.2,66.8,0.4912,83.88,113.0
513,итеративный,10.08,0.0,0.7,5.4,8.7,5.8,12.2,10.8,0.44799999999999995,86.85,105.0
514,йот,10.74,38.3,5.9,7.5,16.1,5.8,10.5,5.2,0.3811,88.69,119.0
515,йотация,0.66,1.2,0.3,0.2,0.8,0.5,0.6,0.0,0.7495,73.51,30.0
516,кавказский,93.76,25.1,63.2,67.7,111.9,74.6,71.9,31.0,0.4855,86.57,123.0
517,каламбур,33.01,107.7,26.6,25.4,27.7,27.8,23.7,6.1,0.4121,87.76,123.0
518,каламбурный,3.97,8.4,4.6,3.4,5.0,3.3,2.4,0.0,0.4333,89.05,97.0
519,калмыцкий,55.86,9.6,23.5,13.2,19.7,60.6,40.5,21.2,0.6069,80.77,117.0
520,калужский,5.86,19.1,9.1,6.5,6.8,3.3,4.5,12.2,0.3802,90.83,111.0
521,калька,27.51,39.5,21.1,34.8,22.7,21.6,19.1,24.9,0.2809,92.52,123.0
522,калькирование,25.75,4.8,11.3,31.2,14.1,20.0,21.7,22.1,0.2997,92.59,123.0
523,канадский,7.02,2.4,0.5,1.6,3.4,4.3,9.1,8.0,0.5365,80.98,94.0
524,канцеляризм,1.36,21.5,1.3,2.8,1.0,0.9,0.5,0.9,0.5398,85.39,62.0
525,канцелярский,7.03,58.6,13.2,8.5,6.9,5.6,3.1,1.4,0.4234,87.11,103.0
526,караимский,8.15,0.0,43.1,21.1,3.1,2.8,4.4,10.3,0.625,80.91,71.0
527,каракалпакский,32.09,6.0,245.7,115.9,15.5,6.1,7.9,2.4,0.6661,79.29,89.0
528,карельский,30.3,12.0,5.6,8.1,18.9,14.2,41.0,92.2,0.5525,77.61,117.0
529,карпатский,3.09,7.2,1.3,6.0,2.0,2.0,2.1,10.3,0.5517,80.0,74.0
530,картвельский,6.5,13.2,3.3,14.1,17.5,3.6,2.7,2.4,0.5678,78.75,89.0
531,картина,856.87,180.7,147.7,102.4,363.0,795.9,816.4,518.6,0.2438,94.77,123.0
532,каталанский,4.24,0.0,0.2,0.4,2.6,0.9,7.4,13.2,0.7833,62.88,46.0
533,катарсис,2.96,0.0,0.2,0.3,19.1,1.1,1.0,0.0,0.6842,41.43,61.0
534,катафорический,0.13,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.9095,63.85,10.0
535,каузатив,89.7,1.2,34.1,69.5,71.5,70.5,78.4,79.0,0.3757,89.53,123.0
536,каузативность,1.62,0.0,0.3,1.3,0.9,1.9,0.8,0.0,0.5355,84.53,68.0
537,каузативный,45.6,1.2,20.3,43.5,42.2,38.6,33.3,30.1,0.3725,90.49,123.0
538,каузатор,9.49,0.0,0.8,5.9,5.8,9.0,7.5,5.6,0.4498,85.6,107.0
539,квантификация,5.71,0.0,0.5,1.0,4.7,4.8,5.5,3.8,0.4593,85.48,103.0
540,квантор,16.61,0.0,0.5,6.2,21.4,12.9,14.8,18.3,0.4942,86.45,110.0
541,кванторный,6.49,0.0,0.0,2.4,10.1,4.6,6.0,8.0,0.5134,83.28,98.0
542,кельтский,11.89,0.0,2.6,2.9,4.8,8.7,14.0,7.1,0.5088,82.79,109.0
543,кипчакский,2.21,1.2,13.7,6.1,1.0,0.9,0.5,4.7,0.7016,80.36,41.0
544,киргизский,52.67,8.4,307.0,169.8,29.0,20.1,15.2,10.3,0.5537,84.24,122.0
545,кириллица,6.91,8.4,6.0,5.5,7.0,4.4,6.3,9.4,0.3906,90.82,107.0
546,кириллический,5.47,4.8,1.5,1.6,3.6,2.2,8.0,8.9,0.4911,85.59,89.0
547,китайский,187.0,19.1,58.8,54.4,108.8,119.5,212.7,537.4,0.3192,91.58,123.0
548,клауза,14.69,0.0,0.0,0.2,0.1,5.0,23.7,88.9,0.6978,77.9,56.0
549,клефт,1.94,0.0,0.0,0.5,0.3,2.3,1.4,0.0,0.8374,36.43,23.0
550,клинописный,2.38,0.0,0.8,0.4,0.5,0.3,4.8,0.0,0.8369,38.61,26.0
551,клитика,12.84,0.0,3.1,4.2,4.4,6.5,18.6,10.8,0.5778,82.35,90.0
552,клише,30.38,8.4,5.2,11.4,25.5,31.8,19.6,23.0,0.2744,90.81,123.0
553,клишированность,1.15,0.0,0.0,0.1,1.0,0.9,1.1,1.4,0.4484,88.78,72.0
554,когерентность,8.32,0.0,0.0,3.7,6.7,8.2,6.1,8.5,0.3911,87.1,107.0
555,когнат,2.37,0.0,0.0,0.3,0.1,0.5,3.3,34.3,0.7429,70.9,36.0
556,когнитивистика,8.04,0.0,0.0,0.0,1.3,6.2,9.9,9.9,0.4025,91.35,99.0
557,когнитивный,1228.51,0.0,0.0,5.0,458.0,1116.5,1271.1,866.1,0.3437,92.59,120.0
558,комический,77.33,52.7,16.5,44.8,66.9,70.5,60.7,6.1,0.3671,90.55,123.0
559,коммуникант,88.65,0.0,0.0,12.4,67.0,88.1,72.5,45.6,0.305,92.7,120.0
560,коммуникативный,1188.51,39.5,46.7,458.1,908.9,1125.4,973.6,560.9,0.2324,95.12,123.0
561,коммуникация,999.44,23.9,17.6,145.5,447.6,870.9,1035.7,606.1,0.2921,93.56,123.0
562,компаративистика,10.38,2.4,4.7,9.0,9.6,8.8,7.9,4.7,0.3402,92.52,123.0
563,компаративный,33.62,1.2,2.3,13.7,32.7,30.3,28.0,7.5,0.3634,90.79,120.0
564,комплемент,13.42,0.0,2.0,14.5,10.4,8.9,12.1,44.2,0.4481,85.4,116.0
565,комплементарный,2.82,0.0,1.3,0.8,4.0,2.4,2.2,0.9,0.418,88.34,91.0
566,компрессия,25.43,0.0,1.3,26.2,22.3,21.7,20.0,3.8,0.3968,89.01,122.0
567,конверб,8.49,0.0,0.0,0.0,1.0,1.7,16.3,22.6,0.7563,68.47,45.0
568,конвергентный,3.81,0.0,1.3,3.3,2.1,2.6,3.9,5.2,0.4161,90.44,95.0
569,конвергенция,15.99,0.0,2.5,24.0,13.0,11.3,13.8,8.5,0.4543,83.35,117.0
570,кондиционалис,2.18,0.0,0.0,2.6,1.0,0.6,3.2,8.5,0.6591,77.78,54.0
571,коннектор,11.28,0.0,0.0,1.6,4.7,10.2,9.6,49.8,0.5502,82.48,101.0
572,коннотативный,79.92,0.0,1.1,31.7,70.1,88.2,47.6,39.0,0.2688,93.85,121.0
573,коннотация,117.1,0.0,0.8,42.3,82.9,114.1,93.9,68.6,0.2053,95.05,121.0
574,консонант,39.38,1.2,35.5,43.5,35.1,27.7,32.7,29.2,0.3218,92.06,122.0
575,консонантизм,17.2,1.2,17.5,15.5,17.9,12.8,13.7,3.3,0.3951,90.36,118.0
576,консонантный,17.26,0.0,12.9,22.8,14.8,11.7,14.0,24.9,0.3477,92.54,121.0
577,константа,58.85,0.0,3.1,5.3,15.4,53.9,61.2,23.5,0.2983,92.93,123.0
578,конституировать,16.48,2.4,3.8,12.4,19.7,15.3,10.6,6.6,0.2973,92.58,123.0
579,конститутивный,14.52,1.2,1.5,4.5,7.7,12.7,14.4,2.4,0.3649,91.42,121.0
580,конструкция,1206.97,503.8,502.9,1064.5,1018.5,909.0,1041.6,1308.5,0.1551,95.9,123.0
581,контактирование,9.45,0.0,8.3,12.6,10.0,7.6,5.9,6.1,0.3036,93.0,122.0
582,контактология,0.32,0.0,0.0,0.1,0.0,0.2,0.5,0.5,0.7975,79.0,24.0
583,контаминация,21.85,18.0,18.5,13.8,18.8,17.1,18.5,9.9,0.2233,93.91,123.0
584,контаминировать,6.03,3.6,3.1,2.7,4.4,5.2,5.1,6.1,0.3968,88.33,111.0
585,контекст,995.49,343.5,226.6,656.2,764.6,841.1,830.1,1120.4,0.0998,97.55,123.0
586,контекстный,52.28,3.6,6.5,45.8,46.7,47.8,37.1,31.0,0.1637,96.07,123.0
587,контекстологический,3.74,0.0,0.5,2.7,2.9,3.3,3.1,0.5,0.3185,92.42,102.0
588,контекстуальный,109.87,22.7,13.2,88.9,84.7,99.1,83.8,74.3,0.1953,95.66,123.0
589,конфикс,4.15,0.0,0.0,2.2,2.4,3.8,3.7,0.9,0.6346,71.76,67.0
590,концепт,2115.57,0.0,1.5,30.3,494.1,2079.2,2068.3,1114.3,0.35200000000000004,92.49,123.0
591,концептосфера,15.99,0.0,0.0,0.0,0.8,14.3,18.3,4.7,0.4385,90.05,98.0
592,концептуализация,29.47,0.0,0.0,0.2,13.1,29.4,27.0,13.2,0.2905,93.87,113.0
593,концептуальный,400.65,0.0,1.1,20.5,190.7,387.9,372.1,248.3,0.312,93.21,123.0
594,концепция,241.75,19.1,55.4,107.4,205.4,214.8,201.0,151.4,0.1499,96.49,123.0
595,конъюнктив,14.14,0.0,3.9,6.0,4.2,10.7,15.1,28.2,0.5015,86.03,103.0
596,корейский,33.54,10.8,10.6,7.4,26.7,30.8,27.2,42.3,0.4935,84.97,120.0
597,корень,202.14,568.5,325.8,196.7,199.7,128.7,155.9,235.6,0.2395,94.59,123.0
598,кореферентный,0.27,0.0,0.0,0.2,0.2,0.1,0.4,1.9,0.8375,74.57,19.0
599,кореферентность,2.6,0.0,0.0,3.0,2.2,1.9,2.2,3.8,0.6082,80.18,65.0
600,корневой,58.8,25.1,71.9,68.0,56.8,47.4,36.4,52.2,0.2282,94.5,123.0
601,корпус,295.25,18.0,20.4,46.2,77.5,186.5,380.8,773.4,0.3357,91.68,123.0
602,корпусный,11.49,0.0,0.0,0.0,0.3,5.2,18.0,44.7,0.4823,88.06,92.0
603,косвенный,143.38,63.4,86.8,96.5,123.2,117.2,117.1,95.0,0.1702,96.07,123.0
604,костромской,17.78,14.4,9.6,10.7,17.5,13.4,15.3,22.6,0.4531,86.56,120.0
605,красноречие,15.83,28.7,11.8,19.3,18.7,13.1,9.3,5.6,0.3201,92.05,121.0
606,креол,27.56,1.2,0.2,3.0,4.4,19.6,36.4,12.2,0.4665,87.63,113.0
607,креольский,4.45,0.0,0.2,1.7,0.8,3.9,4.6,0.9,0.6501,75.7,64.0
608,крылатый,50.95,104.1,47.4,36.0,53.9,40.2,38.5,10.8,0.2671,92.83,123.0
609,крымский,16.65,10.8,71.2,30.4,15.6,6.3,10.8,16.5,0.4057,85.35,122.0
610,кумыкский,81.38,7.2,71.1,71.4,49.2,79.5,51.1,4.2,0.6629,81.22,99.0
611,курский,16.51,13.2,11.6,21.6,17.8,11.0,13.6,3.8,0.319,92.25,122.0
612,кхмерский,2.04,0.0,0.0,1.3,0.6,0.6,1.9,40.0,0.7332,56.38,40.0
613,лабиализация,5.65,0.0,11.9,8.1,4.1,2.7,5.2,5.2,0.5108,85.35,87.0
614,лабиализованный,5.68,1.2,9.6,6.5,5.9,2.5,6.0,0.9,0.5254,85.94,78.0
615,лабиальный,4.51,0.0,8.5,9.2,4.9,2.3,3.3,1.4,0.4659,87.37,85.0
616,лакский,50.32,6.0,41.3,21.7,26.7,44.0,44.2,1.4,0.6895,81.18,100.0
617,латентный,4.33,0.0,0.2,2.7,4.8,4.6,2.3,5.2,0.3681,91.69,108.0
618,латинизм,5.18,0.0,2.3,1.7,4.3,7.0,1.3,3.3,0.59,70.82,91.0
619,латиница,5.44,4.8,2.3,1.5,2.6,3.9,6.0,8.9,0.4239,89.5,101.0
620,латинский,139.22,240.6,129.6,114.6,106.9,104.8,114.7,104.9,0.2057,95.01,123.0
621,латынь,16.75,19.1,5.6,10.2,19.9,9.4,15.4,83.2,0.363,88.98,119.0
622,латышский,12.72,10.8,19.6,21.8,9.2,6.1,12.1,2.8,0.4512,86.93,122.0
623,лезгинский,103.43,4.8,9.8,11.6,85.1,90.1,100.5,6.1,0.6912,81.71,111.0
624,лексема,504.97,2.4,60.6,205.6,353.4,448.1,426.3,857.6,0.1535,96.36,123.0
625,лексика,1625.5,452.4,612.0,1251.9,1406.5,1531.2,1098.3,738.2,0.1742,96.27,123.0
626,лексикализация,19.06,3.6,4.6,13.1,15.2,16.4,13.5,64.4,0.3119,91.01,123.0
627,лексикографирование,1.03,0.0,0.7,0.0,0.8,0.9,0.9,0.5,0.478,87.53,64.0
628,лексикографический,255.78,25.1,74.8,137.1,191.5,224.5,212.6,214.9,0.1473,96.55,123.0
629,лексикография,291.96,44.3,86.4,187.0,247.4,269.1,214.9,196.1,0.1865,95.66,123.0
630,лексиколог,398.74,32.3,120.7,378.7,363.0,374.9,259.4,90.7,0.2223,95.3,123.0
631,лексикология,364.89,23.9,99.7,339.3,327.4,345.6,238.3,81.3,0.2243,95.19,123.0
632,лексикон,100.97,70.6,42.5,26.4,76.9,99.7,73.0,84.2,0.2239,94.28,123.0
633,лексикостатистика,0.68,0.0,0.3,0.1,0.4,0.2,1.0,1.9,0.7095,74.4,35.0
634,лексический,1502.5,242.9,551.1,1207.0,1317.7,1410.4,1005.8,814.8,0.1499,96.78,123.0
635,лемма,10.35,16.8,1.1,1.6,3.9,8.5,10.6,19.3,0.5317,84.4,107.0
636,лемматизация,1.57,0.0,0.0,0.0,0.4,1.4,1.7,1.4,0.6616,78.68,48.0
637,лигатура,1.74,0.0,1.8,0.5,0.5,0.7,2.7,0.0,0.6501,77.26,50.0
638,лингвистика,2297.41,65.8,138.1,819.0,1556.7,2047.1,2083.4,1465.1,0.2245,95.06,123.0
639,лингводидактика,5.1,0.0,0.0,0.8,3.5,4.4,5.1,2.8,0.3763,91.02,107.0
640,лингвист,5225.03,513.4,650.7,2314.8,3805.9,4728.8,4445.5,3225.4,0.1901,95.83,123.0
641,лингвистический,2510.71,250.1,372.3,1236.4,1936.7,2346.9,1990.3,1369.2,0.1901,96.12,123.0
642,лингвистка,1.96,0.0,0.0,0.1,2.2,1.9,1.6,0.0,0.4367,90.19,82.0
643,лингвогеография,1.38,0.0,0.2,1.0,1.1,1.3,1.0,2.4,0.5349,87.38,63.0
644,лингводидактика,5.1,0.0,0.0,0.8,3.5,4.4,5.1,2.8,0.3763,91.02,107.0
645,лингвокреативный,0.4,0.0,0.0,0.0,0.0,0.3,0.5,0.9,0.7655,80.77,28.0
646,лингвокультурный,20.36,0.0,0.0,0.0,0.7,12.9,29.7,18.3,0.4493,88.96,101.0
647,лингвокультурология,20.36,0.0,0.0,0.0,1.4,15.1,26.7,17.4,0.3695,91.52,102.0
648,лингвопоэтика,1.0,0.0,0.0,0.2,0.7,0.9,1.0,0.5,0.6055,82.17,48.0
649,лингвопрагматика,0.75,0.0,0.0,0.0,0.3,0.5,1.0,0.9,0.6135,84.9,47.0
650,лингвосемиотика,0.31,0.0,0.0,0.1,0.0,0.1,0.6,0.5,0.8375,70.29,19.0
651,лингвосинергетический,0.14,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.8775,71.99,14.0
652,лингвостатистический,0.61,0.0,0.0,0.1,0.4,0.5,0.6,0.0,0.5975,86.73,49.0
653,лингвостилистика,19.51,0.0,1.1,20.0,17.7,19.4,11.7,4.2,0.3042,93.38,118.0
654,лингвофольклористика,1.19,0.0,0.0,0.0,0.9,0.8,1.5,0.5,0.6509,80.27,45.0
655,лиризм,2.25,7.2,6.7,3.4,1.6,1.5,1.2,0.9,0.4959,87.85,74.0
656,лирика,76.5,38.3,49.0,32.7,64.8,77.5,49.1,10.8,0.3109,91.9,123.0
657,лирический,73.79,86.2,87.4,54.6,60.7,73.3,38.8,14.6,0.2938,93.17,123.0
658,лиричность,0.56,6.0,1.8,0.7,0.5,0.4,0.2,0.0,0.6535,84.89,42.0
659,литовский,38.73,37.1,52.6,68.4,36.1,15.8,38.4,19.3,0.41600000000000004,88.53,123.0
660,литота,2.58,2.4,0.5,1.1,1.8,2.6,1.6,6.6,0.4255,89.29,86.0
661,логопедический,1.07,13.2,0.2,0.0,0.2,0.8,1.2,0.0,0.6215,80.69,46.0
662,локализатор,8.62,0.0,0.3,3.1,14.4,6.2,7.9,0.9,0.5816,84.08,84.0
663,локализация,46.87,0.0,11.1,15.7,38.3,36.3,46.7,42.8,0.2428,93.38,123.0
664,локативный,2.26,0.0,0.3,0.2,2.8,1.1,2.9,5.2,0.5248,83.35,72.0
665,македонский,14.62,14.4,6.4,5.6,16.8,11.1,12.8,19.3,0.5161,85.62,103.0
666,макрополе,3.96,0.0,0.0,1.9,1.6,4.2,3.0,0.9,0.4869,86.33,79.0
667,малограмотный,1.49,6.0,3.1,1.5,1.4,1.1,0.9,2.4,0.511,86.92,67.0
668,малопродуктивный,3.55,2.4,2.6,3.6,3.4,3.1,2.3,0.9,0.3652,90.65,105.0
669,малоупотребительный,4.44,13.2,7.2,5.9,4.3,3.1,2.9,1.4,0.2999,92.82,111.0
670,марийский,86.51,2.4,45.1,43.9,60.8,55.7,97.8,48.0,0.6136,83.59,114.0
671,маркирование,37.92,0.0,0.3,2.6,11.0,16.1,61.7,51.2,0.563,76.62,117.0
672,маркированность,15.33,0.0,1.0,9.1,17.2,14.1,11.3,3.8,0.2279,94.73,122.0
673,маркированный,48.11,2.4,7.7,30.4,48.1,38.8,42.0,26.3,0.2255,94.15,123.0
674,машинный,46.27,12.0,11.4,51.6,52.7,42.0,27.7,19.3,0.2823,92.62,123.0
675,мегрельский,2.2,1.2,0.3,3.8,14.0,0.2,0.7,0.0,0.7899,39.94,33.0
676,медиадискурс,18.74,0.0,0.0,0.0,0.0,0.9,40.9,28.2,0.7101,80.31,52.0
677,медиатекст,19.35,0.0,0.0,0.0,0.1,2.6,40.3,23.0,0.6551,81.0,77.0
678,междометие,84.31,37.1,29.4,39.7,71.8,72.1,70.1,84.6,0.41700000000000004,89.42,123.0
679,междометный,15.34,2.4,2.5,7.0,21.5,14.2,10.5,2.8,0.45,84.98,117.0
680,межслоговой,0.92,0.0,0.8,0.5,0.6,1.1,0.4,0.9,0.6695,72.09,40.0
681,межтекстовый,0.33,0.0,0.0,0.0,0.1,0.4,0.3,0.0,0.8855,56.72,13.0
682,местоимение,358.39,234.6,239.4,300.2,273.8,266.9,313.9,314.6,0.2119,95.03,123.0
683,местоименный,68.15,18.0,33.7,74.3,81.4,51.6,51.5,26.8,0.256,93.43,123.0
684,метатеза,6.47,1.2,11.3,9.3,5.2,5.8,2.9,1.4,0.4715,76.12,97.0
685,метафора,663.98,80.2,91.3,133.1,433.6,612.8,585.5,627.7,0.2675,94.31,123.0
686,метафоризация,6.54,4.8,1.5,1.6,4.3,5.6,6.0,7.5,0.3061,92.21,117.0
687,метафорический,287.67,41.9,64.9,85.8,165.9,261.5,252.5,318.8,0.2535,94.3,123.0
688,метафоричность,11.14,3.6,7.4,5.0,7.9,10.2,8.3,14.1,0.2175,94.66,123.0
689,метонимизация,0.48,0.0,0.0,0.3,0.2,0.3,0.6,0.5,0.7015,82.75,36.0
690,метонимический,42.53,4.8,6.0,23.6,32.0,43.1,28.4,39.5,0.2562,93.55,123.0
691,метонимия,44.84,7.2,9.0,20.7,34.0,43.7,32.3,48.9,0.3025,91.78,123.0
692,микрополе,30.1,0.0,0.2,11.0,24.1,36.6,14.9,2.8,0.4479,87.82,113.0
693,микротопонимия,2.08,0.0,0.2,0.8,1.1,1.7,2.1,2.8,0.5365,80.94,69.0
694,микротопонимический,1.19,0.0,0.0,0.1,1.3,1.1,1.0,0.9,0.6858,72.61,40.0
695,микротопоним,20.7,0.0,9.0,11.9,17.6,16.4,18.3,21.2,0.4657,85.38,109.0
