термин,частота (ipm),1960-е,1970-е,1980-е,1990-е,2000-е,2010-е,2020-е,DP,D,R
ядро,144.09,18.0,32.3,76.8,104.4,135.5,112.5,68.2,0.1952,95.22,123.0
вариативность,143.8,12.0,9.0,58.0,124.8,123.4,127.3,122.7,0.2155,95.14,123.0
придаточный,143.44,35.9,210.4,186.3,141.4,116.0,82.6,55.0,0.2658,93.34,123.0
косвенный,143.38,63.4,86.8,96.5,123.2,117.2,117.1,95.0,0.1702,96.07,123.0
морфема,140.63,56.2,112.4,172.5,138.6,94.7,110.9,231.3,0.2017,95.04,123.0
звуковой,140.38,155.6,174.7,138.5,148.8,116.7,85.9,46.1,0.1765,95.98,123.0
таджикский,140.31,16.8,39.7,58.8,63.1,56.0,212.3,187.1,0.659,81.88,112.0
актуализация,140.21,12.0,11.3,72.9,110.5,135.4,105.8,68.2,0.2591,94.39,123.0
жанровый,139.4,25.1,30.9,55.5,93.0,127.0,120.2,59.7,0.2325,94.86,123.0
латинский,139.22,240.6,129.6,114.6,106.9,104.8,114.7,104.9,0.2057,95.01,123.0
поговорка,138.87,113.7,146.2,87.0,110.1,101.8,122.9,104.4,0.2503,93.45,123.0
дагестанский,133.82,2.4,25.2,39.8,112.5,120.7,116.7,24.0,0.5635,84.52,122.0
наклонение,133.72,44.3,205.9,167.7,95.6,88.7,109.1,70.1,0.3188,92.45,123.0
интонация,133.29,165.2,120.7,172.1,164.5,119.8,61.7,32.9,0.2459,93.97,123.0
падежный,132.6,38.3,125.5,136.4,117.0,94.8,110.6,65.4,0.2513,93.75,123.0
аварский,130.25,8.4,7.7,38.4,177.1,108.9,111.8,6.1,0.6482,82.8,113.0
азербайджанский,128.87,16.8,764.0,473.4,65.1,43.6,31.0,35.7,0.6395,82.29,119.0
подлежащее,128.44,117.3,128.6,145.7,117.2,93.9,96.0,121.8,0.2937,93.53,123.0
идиома,127.81,13.2,57.5,55.5,137.2,104.7,104.1,166.4,0.2376,94.19,123.0
семиотический,127.75,0.0,2.3,29.9,88.0,116.2,116.6,81.3,0.2548,94.42,123.0
префикс,127.15,18.0,27.4,114.1,111.9,97.7,109.3,141.5,0.2652,93.78,123.0
дополнение,127.1,61.0,139.4,139.5,92.0,89.6,106.3,95.4,0.2729,93.4,123.0
денотат,126.31,0.0,7.5,94.6,147.7,123.6,76.4,62.5,0.2173,95.21,123.0
экспрессивность,124.31,25.1,19.9,63.5,126.1,125.6,80.5,25.9,0.2676,93.9,123.0
словоформа,124.27,31.1,51.1,97.6,74.4,94.7,115.4,144.8,0.2972,92.39,123.0
чувашский,124.03,21.5,398.0,247.4,59.8,71.8,77.5,47.5,0.5397,87.26,121.0
деривация,122.14,0.0,21.1,82.4,105.3,118.4,83.5,77.6,0.2409,94.37,123.0
фольклорный,120.03,26.3,77.8,93.1,94.5,93.0,104.0,73.8,0.2262,94.2,123.0
выборка,119.84,13.2,10.1,62.7,69.0,95.6,116.4,182.4,0.1588,96.05,123.0
социолингвистический,119.66,3.6,6.2,46.9,80.8,113.5,94.3,189.5,0.2279,94.83,123.0
вопросительный,118.84,40.7,66.2,127.8,124.5,96.3,83.9,72.4,0.2689,93.31,123.0
сегмент,118.38,10.8,16.0,93.1,79.3,115.4,82.1,95.0,0.2342,94.12,123.0
узбекский,117.95,21.5,693.4,432.8,72.8,36.5,30.9,19.7,0.6203,82.95,120.0
ареал,117.79,0.0,102.3,146.4,103.8,75.0,101.4,174.0,0.2663,94.08,123.0
ударный,117.11,177.1,172.0,115.3,81.1,74.5,101.9,151.4,0.3158,91.46,123.0
коннотация,117.1,0.0,0.8,42.3,82.9,114.1,93.9,68.6,0.2053,95.05,121.0
дифференциация,116.4,26.3,55.2,113.1,121.6,105.5,73.7,30.6,0.1725,96.03,123.0
пассив,116.24,33.5,61.1,138.4,72.7,84.7,102.6,79.9,0.2829,92.17,123.0
реконструкция,114.94,12.0,59.8,66.9,104.2,94.5,95.8,81.3,0.1547,96.34,123.0
референт,114.22,2.4,6.9,62.1,103.6,93.7,100.7,134.9,0.245,93.96,123.0
залог,114.04,19.1,169.4,219.7,76.2,83.8,69.6,29.6,0.3262,91.84,123.0
топонимия,113.13,4.8,64.4,83.2,120.2,84.0,93.7,170.2,0.3505,91.9,122.0
актант,112.82,0.0,6.9,60.4,90.2,86.8,108.1,172.1,0.3108,92.23,123.0
варьирование,112.54,14.4,28.1,106.1,121.0,98.1,77.1,85.6,0.1875,95.35,123.0
имплицитный,111.89,0.0,5.4,57.1,99.8,109.2,80.9,60.2,0.2388,94.37,123.0
окказиональный,111.88,28.7,17.6,75.4,86.2,111.9,76.1,25.9,0.3292,92.07,123.0
